,,,,,,,,,,,,
International travel estimates by state/territory(a),,,,,,,,,,,,
Year ending December,,,,,,,,,,,,
,Trips ('000),,Change,,Nights ('000),,Change,,Regional Expenditure ($M),,Change,
,Year ending December 2024,Year ending December 2025,'000,%,Year ending December 2024,Year ending December 2025,'000,%,Year ending December 2024,Year ending December 2025,$M,%
New South Wales,3805.670687746983,4110.416361453429,304.74567370644627,8.007673251593417,100828.81203638585,105933.87166954635,5105.059633160505,5.063096083407448,12025.486348316137,15039.511082191164,3014.024733875027,25.06364105845136
Victoria,2708.1250899940064,2826.813586053447,118.6884960594407,4.382681453599457,80265.52648406514,78822.25599775661,-1443.2704863085237,-1.7981200018603927,9046.088693453059,9676.255191602311,630.1664981492522,6.9661764272256566
Queensland,2157.633299744239,2368.4626059586917,210.82930621445257,9.771322413286999,53254.146779949704,55611.05655934994,2356.9097794002373,4.425776999374653,6219.6814814121635,7484.565211548852,1264.8837301366884,20.33679271063733
South Australia,439.94419348563065,445.40925640788544,5.465062922254788,1.2422173091899857,13591.912894705602,14720.62058318236,1128.7076884767594,8.304259284330895,1347.8634464588336,1760.9313743521493,413.06792789331575,30.6461258355619
Western Australia,864.9835957423209,1068.14190669987,203.15831095754925,23.486955354708282,31303.893273119476,41981.76733404214,10677.874060922662,34.11037077005277,2625.359331692271,3404.9293924281396,779.5700607358685,29.693842337131372
Tasmania,253.99528334138495,278.63296193431387,24.63767859292892,9.700053587142566,4959.421152424751,5045.585536562934,86.16438413818287,1.737387922702549,551.2694119067511,711.5607076809226,160.29129577417154,29.076762162397163
Northern Territory,221.19364451410533,254.65064012959294,33.456995615487614,15.125658645836037,4607.551332556984,4420.039585792737,-187.5117467642467,-4.06966158877683,468.2350520646315,526.6178644439277,58.38281237929624,12.468697531691308
Australian Capital Territory,214.66331194644553,198.54354527311813,-16.119766673327405,-7.509325430210911,5431.068756665371,5613.725594950684,182.65683828531292,3.3631840521470835,626.5275335025772,586.7993994091795,-39.72813409339767,-6.34100370199201
,,,,,,,,,,,,
(a) Estimates are for international visitors aged 15 years and over,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,,,,
,,,,,,,,,,,,
Back to content page,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
